11/13/2024                                                                                                                                                                                                                          Dynamic List Display                                                                                                                                                                                                                                 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTL Direct Material Stock Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Material,Material,Customer,Material description,Size,Unit/Strip,Plant,SLOC,Batch,Extend Shelf life,Number Extend,Revision,Shipment Date,Shipment,Ship No.,X-Out,Vendor Batch,Manu.Date,Shlf.Date,GR.Date,Vendor,Vendor Name,      QI.Qty.,   Unres.Qty., Reserve Qty.,Available Qty.,    Block Qty.,         Total,Remark,AUn,Conversion1,Manufacturer
,CZ0177-ADI,CZ0177,ADI,"G770SHC, 14MMX6.0G",G770SHC 14mm X 6.0g,,120,DC41,12244730,,0,,09/18/2024,SBS0241105157/01 (15),180924SBS0241105157/01 (15),,4082135,08/25/2024,02/24/2025,09/18/2024,10067,"SUMITOMO BAKELITE (THAILAND) CO.,LT",0,322,0,322,0,322,,KG,1 KG = 1 KG,-
,CZ0177-UTL,CZ0177,UTL,"G770SHC, 14MMX6.0G",G770SHC 14mm X 6.0g,,120,RP60,10853258,,0,,1/9/2023,SBS0221110312/01 (15KG),090123SBS0221110312/01 (15KG),,2122141,12/15/2022,06/14/2023,1/9/2023,10067,"SUMITOMO BAKELITE (THAILAND) CO.,LT",0,0,0,0,39.5,39.5,,KG,1 KG = 1 KG,
,CZ0245-IDT,CZ0245,IDT,"GE-300LC2MA2, 14MMX6.7G",GE-300LC2MA2 (GE-300-LC2MAimp2),,120,RP61,11851461,,0,,03/15/2024,A00026893/01(10KG),150324A00026893/01(10KG),,PE421402,02/21/2024,08/19/2024,03/16/2024,10227,Resonac Materials (Thailand) Co. Lt,0,0,0,0,15,15,,KG,1 KG = 1 KG,
,CZ0245-IDT,CZ0245,IDT,"GE-300LC2MA2, 14MMX6.7G",GE-300LC2MA2 (GE-300-LC2MAimp2),,120,RP60,12189710,,0,,03/15/2024,A00026893/01(10KG),150324A00026893/01(10KG),,PE421402,02/21/2024,08/30/2024,03/16/2024,10227,Resonac Materials (Thailand) Co. Lt,0,0,0,0,5,5,,KG,1 KG = 1 KG,
,CZ0245-IDT,CZ0245,IDT,"GE-300LC2MA2, 14MMX6.7G",GE-300LC2MA2 (GE-300-LC2MAimp2),,120,DC43,12214279,,0,,9/4/2024,A00031522/01(10KG),040924A00031522/01(10KG),,PE013408,08/13/2024,2/12/2025,9/5/2024,10227,Resonac Materials (Thailand) Co. Lt,0,65,0,65,0,65,,KG,1 KG = 1 KG,
,CZ0245-UTL,CZ0245,UTL,"GE-300LC2MA2, 14MMX6.7G",GE-300LC2MA2 (GE-300-LC2MAimp2),,120,RP60,10142661,,0,,04/22/2022,A00024032/33/34/03 (10KG,220422A00024032/33/34/03 (10KG,,PE029203,03/29/2022,09/28/2022,04/28/2022,10145,HITACHI CHEMICAL ASIA (THAILAND) CO,0,0,0,0,10,10,,KG,1 KG = 1 KG,
,CZ0245-UTL,CZ0245,UTL,"GE-300LC2MA2, 14MMX6.7G",GE-300LC2MA2 (GE-300-LC2MAimp2),,120,RP61,10876908,,0,,01/17/2023,A00026893/01 (10KG),170123A00026893/01 (10KG),,PE220212,12/20/2022,06/19/2023,01/18/2023,10227,Resonac Materials (Thailand) Co. Lt,0,0,0,0,50,50,,KG,1 KG = 1 KG,
,CZ0245-UTL,CZ0245,UTL,"GE-300LC2MA2, 14MMX6.7G",GE-300LC2MA2 (GE-300-LC2MAimp2),,120,RP60,11287799,,0,,06/29/2023,RD00670623/01(10KG,290623RD00670623/01(10KG,,WE03232306PCN,06/23/2023,12/20/2023,06/30/2023,10227,Resonac Materials (Thailand) Co. Lt,0,0,0,0,19,19,,KG,1 KG = 1 KG,
,CZ0282-ONS,CZ0282,ONS,"G720D, 14MMX6.4G","G720D (ZD8075), 14mm x 6.4g",,120,RP57,11973307,,0,,05/23/2024,SBS0241101429/02(15KG),230524SBS0241101429/02(15KG),,4032106,03/14/2024,09/13/2024,05/23/2024,10067,"SUMITOMO BAKELITE (THAILAND) CO.,LT",0,0,0,0,255,255,,KG,1 KG = 1 KG,
,CZ0282-ONS,CZ0282,ONS,"G720D, 14MMX6.4G","G720D (ZD8075), 14mm x 6.4g",,120,RP57,11973313,,0,,05/23/2024,SBS0241101429/02(15KG),230524SBS0241101429/02(15KG),,4032106,03/14/2024,09/13/2024,05/23/2024,10067,"SUMITOMO BAKELITE (THAILAND) CO.,LT",0,0,0,0,300,300,,KG,1 KG = 1 KG,
,CZ0282-ONS,CZ0282,ONS,"G720D, 14MMX6.4G","G720D (ZD8075), 14mm x 6.4g",,120,DC41,12289746,,0,,10/9/2024,SBS0241105848/01,091024SBS0241105848/01,,4092200,09/28/2024,03/27/2025,10/9/2024,10067,"SUMITOMO BAKELITE (THAILAND) CO.,LT",0,450,0,450,0,450,,KG,1 KG = 1 KG,-
,CZ0286-UTL,CZ0286,UTL,"CV8715BT, 14MMX4.3G","CV8715BT, 14mm x 4.3g",,120,RP60,10283751,,0,,06/16/2022,MA200105/01 (10KG),160622MA200105/01 (10KG),,21286D,01/28/2022,10/27/2022,06/17/2022,10183,Panasonic Manufacturing,0,0,0,0,30,30,,KG,1 KG = 1 KG,-
,CZ0286-UTL,CZ0286,UTL,"CV8715BT, 14MMX4.3G","CV8715BT, 14mm x 4.3g",,120,RP60,10413101,,0,,8/4/2022,MA201762/01 (10KG),040822MA201762/01 (10KG),,24076F,4/7/2022,1/6/2023,8/4/2022,10183,Panasonic Manufacturing,0,0,0,0,45,45,,KG,1 KG = 1 KG,-
,CZ0286-UTL,CZ0286,UTL,"CV8715BT, 14MMX4.3G","CV8715BT, 14mm x 4.3g",,120,DC62,11878174,,0,,03/28/2024,MA218817/02(10KG),280324MA218817/02(10KG),,42296F,02/29/2024,11/28/2024,03/28/2024,10183,Panasonic Manufacturing,0,30,0,30,0,30,,KG,1 KG = 1 KG,
,CZ0286-UTL,CZ0286,UTL,"CV8715BT, 14MMX4.3G","CV8715BT, 14mm x 4.3g",,120,DC61,12318005,,0,,10/24/2024,MA225504/01 (10KG),241024MA225504/01 (10KG),,42296F,02/29/2024,11/28/2024,10/25/2024,10183,Panasonic Manufacturing,0,190,0,190,0,190,,KG,1 KG = 1 KG,-
,CZ0286-UTL,CZ0286,UTL,"CV8715BT, 14MMX4.3G","CV8715BT, 14mm x 4.3g",,120,DC62,12229531,,0,,9/11/2024,MA224103/01(10KG),110924MA224103/01(10KG),,48066D,8/6/2024,5/5/2025,9/11/2024,10183,Panasonic Manufacturing,0,185,0,185,0,185,,KG,1 KG = 1 KG,
,CZ0288-ADI,CZ0288,ADI,"G700LTD, 14MMX5.9G","G700LTD, 14mm x 5.9g",,120,DC50,12289730,,0,,10/9/2024,SBS0241105844/01,091024SBS0241105844/01,,4082002,8/1/2024,01/31/2025,10/9/2024,10067,"SUMITOMO BAKELITE (THAILAND) CO.,LT",0,585,0,585,0,585,,KG,1 KG = 1 KG,-
